FlowDuration,FlowPktsPerSec,FlowBytesPerSec,FlowIATMean,PktLenMean
27.139718826945586,4.700439718141092,4.807354922057604,25.554756345737925,5.930737337562887
27.43348360592007,4.321928094887363,4.0,23.185556172069155,7.149747119504682
12.284534954008425,19.41584902910145,18.61310958847531,12.284534954008425,7.9886846867721655
11.696098170955864,17.940021036285444,19.201690808735645,11.696098170955864,8.087462841250339
11.78053976747196,17.855555924164683,19.117224560918434,11.78053976747196,8.087462841250339
11.90839262077375,17.727667897027604,18.989336286138258,11.90839262077375,8.087462841250339
34.42971468106056,0.0,0.0,29.037397258780558,9.954196310386875
11.110483309816226,18.525853396870534,19.787523195166703,11.110483309816226,8.087462841250339
12.114718389188425,17.521293711745344,18.782959827972853,12.114718389188425,8.087462841250339
11.477252323937952,18.158935062557454,19.420607912404403,11.477252323937952,8.087462841250339
10.96289600533726,18.673509221258556,19.935180879650282,10.96289600533726,8.087462841250339
32.251756418000824,0.0,0.0,28.344865825213475,6.3750394313469245
37.31385987484487,0.0,0.0,28.26403526096338,7.409390936137702
27.148298841479452,4.700439718141092,4.754887502163468,25.56333635045719,5.930737337562887
15.565756618201602,15.6387187232833,15.331651759720229,15.565756618201602,8.179909090014934
11.576956664706092,20.199062419263708,19.320868843337315,11.576956664706092,6.285402218862249
10.899356922923111,18.73708226247904,19.99875155386537,10.899356922923111,8.087462841250339
11.724087461793989,17.91202387122062,19.17369421355842,11.724087461793989,8.087462841250339
11.653292945382814,17.98283764258187,19.244510174867575,11.653292945382814,8.087462841250339
11.295768934420508,19.34730560607372,19.602158768050455,11.295768934420508,6.266786540694901
11.563672959827514,18.072488543413865,19.33415760175456,11.563672959827514,8.087462841250339
11.045759661382682,18.590605323234794,19.8522765132998,11.045759661382682,8.087462841250339
12.17617314910749,17.4598238108466,18.7214930876812,12.17617314910749,8.087462841250339
10.902375114486025,18.734061256604377,19.99573265286799,10.902375114486025,8.087462841250339
11.812979471251483,19.404553270134844,19.08477465727306,11.812979471251483,6.426264754702098
11.880348808156027,17.755715634798747,19.01738749927598,11.880348808156027,8.087462841250339
11.265615046484458,18.370653354879657,19.632324314039963,11.265615046484458,8.087462841250339
11.562242424221072,18.073916651468856,19.335588805828614,11.562242424221072,8.087462841250339
11.83880998570856,20.099704802841256,19.058937715940395,11.83880998570856,8.266786540694902
14.032131845124589,17.18508835399502,16.86531039331333,14.032131845124589,6.426264754702098
37.30923707419006,0.0,0.0,29.688889347670475,6.870364719583405
